facility_id,category,subtype,source,facility_name,lat,lon,has_coords,address,city,county,zip,status,first_year,last_year,capacity,fire_id,fire_name,fire_year,bucket,dins_year,dist_m,census_tract,generalized
CCC-009899,childcare_center,SINGLE LICENSED CHILD CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,,2025.0,90,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,20.47758960544429,06037262604,TRUE
CCC-009231,childcare_center,SINGLE LICENSED CHILD CARE CENTER,ChildCareCenters,,,,,,,BUTTE,,complete_loss,,,83,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,39.27212844896751,06007002100,TRUE
SCH_04615310110338,school,Elementary Schools (Public),CDE_pubschls,Achieve Charter School of Paradise Inc.,39.761245,-121.62107,True,771 Elliott Road,Paradise,Butte,95969-3913,no_damage,2005.0,2025.0,,CAMP_2018,CAMP,2018.0,no_damage,2018.0,5.6352109693113706,,FALSE
SCH_04615310118257,school,District Community Day Schools,CDE_pubschls,Honey Run Academy Elementary,39.752247,-121.60983,True,622 Pearson Road,Paradise,Butte,95969-5133,no_damage,2008.0,2018.0,,CAMP_2018,CAMP,2018.0,no_damage,2018.0,28.459417165483277,,FALSE
SCH_04615310121715,school,K-12 Schools (Public),CDE_pubschls,Paradise eLearning Academy,39.761658,-121.61238,True,5911 Maxwell Drive,Paradise,Butte,95969-4023,no_damage,2010.0,,,CAMP_2018,CAMP,2018.0,no_damage,2018.0,35.163947556086576,,FALSE
SCH_04615310129999,school,Preschool,CDE_pubschls,Paradise Unified Special Education,39.778701,-121.58938,True,6696 Clark Road,Paradise,Butte,95969-2834,no_damage,2014.0,,,CAMP_2018,CAMP,2018.0,no_damage,2018.0,15.021497524932409,,FALSE
SCH_04615310430025,school,Adult Education Centers,CDE_pubschls,Paradise Adult,39.76214,-121.61198,True,5944 Maxwell Dr,Paradise,Butte,95969,complete_loss,1980.0,,,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,36.81968355186587,,FALSE
SCH_04615310430108,school,District Community Day Schools,CDE_pubschls,Honey Run Academy Secondary,39.752247,-121.60983,True,622 Pearson Road,Paradise,Butte,95969-5133,no_damage,1997.0,,,CAMP_2018,CAMP,2018.0,no_damage,2018.0,28.459417165483277,,FALSE
SCH_04615310432856,school,Continuation High Schools,CDE_pubschls,Ridgeview High (Continuation),39.761969,-121.61197,True,5944 Maxwell Drive,Paradise,Butte,95969-0640,complete_loss,1980.0,,,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,55.83486152455445,,FALSE
SCH_04615310437350,school,High Schools (Public),CDE_pubschls,Paradise Senior High,39.760995,-121.6133,True,5911 Maxwell Drive,Paradise,Butte,95969-4023,no_damage,1954.0,,,CAMP_2018,CAMP,2018.0,no_damage,2018.0,30.311343973200824,,FALSE
SCH_04615316003313,school,Elementary Schools (Public),CDE_pubschls,Paradise Elementary,39.752234,-121.61124,True,588 Pearson Road,Paradise,Butte,95969-5193,complete_loss,1980.0,,,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,29.614413122808763,,FALSE
SCH_04615316003321,school,Junior High Schools (Public),CDE_pubschls,Paradise Junior High,39.750503,-121.61324,True,5657 Recreation Drive,Paradise,Butte,95969-5194,no_damage,1980.0,,,CAMP_2018,CAMP,2018.0,no_damage,2018.0,23.847533292790704,,FALSE
SCH_04615316003339,school,Elementary Schools (Public),CDE_pubschls,Ponderosa Elementary,39.775666,-121.57956,True,6593 Pentz Road,Paradise,Butte,95969-3632,complete_loss,1980.0,,,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,21.073112982003522,,FALSE
SCH_04615316105522,school,Elementary Schools (Public),CDE_pubschls,Pine Ridge,39.813742,-121.60365,True,13878 Compton Drive,Magalia,Butte,95954-9430,complete_loss,1980.0,,,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,65.25943352247018,,FALSE
SCH_04615316112585,school,K-12 Schools (Public),CDE_pubschls,HomeTech Charter,39.756541,-121.62634,True,6249 Skyway,Paradise,Butte,95969-4534,no_damage,1994.0,,,CAMP_2018,CAMP,2018.0,no_damage,2018.0,12.980913105672563,,FALSE
SCH_04615316112999,school,Intermediate/Middle Schools (Public),CDE_pubschls,Paradise Charter Middle,39.772356,-121.59585,True,6473 Clark Road,Paradise,Butte,95928-8319,complete_loss,1995.0,,,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,41.56228608258674,,FALSE
SCH_04615316113765,school,Elementary Schools (Public),CDE_pubschls,Children's Community Charter,39.784151,-121.57878,True,6830 Pentz Rd,Paradise,Butte,95969-2902,complete_loss,1996.0,,,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,10.961803605579588,,FALSE
SCH_04733796002927,school,Elemen Schools In 1 School Dist. (Public),CDE_pubschls,Berry Creek Elementary,39.625428,-121.3745,True,286 Rockerfeller Road,Berry Creek,Butte,95916-9724,complete_loss,1980.0,,,NORTH COMPLEX_2020,NORTH COMPLEX,2020.0,complete_loss,2020.0,4.225999322487093,,FALSE
SCH_10620266005763,school,Elemen Schools In 1 School Dist. (Public),CDE_pubschls,Big Creek Elementary,37.2041,-119.2484,True,55190 Point Road,Big Creek,Fresno,93605-0098,impacted,1980.0,,,CREEK_2020,CREEK,2020.0,impacted,2020.0,36.343484050493345,,FALSE
SCH_10623726007066,school,Elemen Schools In 1 School Dist. (Public),CDE_pubschls,Pine Ridge Elementary,37.059508,-119.38959,True,45828 Auberry Road,Auberry,Fresno,93602-9721,complete_loss,1980.0,,,CREEK_2020,CREEK,2020.0,complete_loss,2020.0,34.09347610265369,,FALSE
SCH_11626531130046,school,Continuation High Schools,CDE_pubschls,Bidwell Point High (Continuation),39.627986,-122.59807,True,3430 County Road 309,Elk Creek,Glenn,95939-0068,not_matched,1980.0,,,AUGUST COMPLEX_2020,AUGUST COMPLEX,2020.0,,,,,FALSE
SCH_11626531132109,school,High Schools (Public),CDE_pubschls,Elk Creek High,39.627986,-122.59807,True,3430 County Road 309,Elk Creek,Glenn,95939-9708,not_matched,1980.0,,,AUGUST COMPLEX_2020,AUGUST COMPLEX,2020.0,,,,,FALSE
SCH_19101990121954,school,Juvenile Court Schools,CDE_pubschls,Road to Success Academy at Campus Kilpatrick SDF,34.091785,-118.83564,True,427 South Encinal Canyon Road,Malibu,Los Angeles,90265,not_matched,2010.0,,,WOOLSEY_2018,WOOLSEY,2018.0,,,,,FALSE
SCH_19647331995836,school,High Schools (Public),CDE_pubschls,Palisades Charter High,34.044632,-118.5333,True,15777 Bowdoin Street,Pacific Palisades,Los Angeles,90272-3523,complete_loss,1995.0,,,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,7.213549994236462,,FALSE
SCH_19647336018063,school,Elementary Schools (Public),CDE_pubschls,Marquez Charter,34.045794,-118.54734,True,16821 Marquez Avenue,Pacific Palisades,Los Angeles,90272-3243,complete_loss,1955.0,,,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,24.345858049034533,,FALSE
SCH_19647336018634,school,Elementary Schools (Public),CDE_pubschls,Palisades Charter Elementary,34.044808,-118.52762,True,800 Via de La Paz,Pacific Palisades,Los Angeles,90272-3617,impacted,1922.0,,,PALISADES_2025,PALISADES,2025.0,impacted,2025.0,37.04486404140017,,FALSE
SCH_19648810113894,school,Elementary Schools (Public),CDE_pubschls,Pasadena Rosebud Academy,34.170175,-118.07177,True,3700 Denair St,Pasadena,Los Angeles,91107-1303,no_damage,2007.0,,,EATON_2025,EATON,2025.0,no_damage,2025.0,43.631092483604,,FALSE
SCH_19648810136945,school,Elementary Schools (Public),CDE_pubschls,OCS - South,34.198502,-118.15848,True,575 West Altadena Drive,Altadena,Los Angeles,91001-4203,no_damage,2018.0,,,EATON_2025,EATON,2025.0,no_damage,2025.0,5.476462550330827,,FALSE
SCH_19648816058465,school,Intermediate/Middle Schools (Public),CDE_pubschls,Charles W. Eliot Middle,34.183475,-118.13154,True,2184 North Lake Avenue,Altadena,Los Angeles,91001-2443,complete_loss,1980.0,,,EATON_2025,EATON,2025.0,complete_loss,2025.0,32.135988782638485,,FALSE
SCH_30736500138719,school,Elementary Schools (Public),CDE_pubschls,Loma Ridge Elementary,33.69638,-117.70307,True,500 Tomato Springs,Irvine,Orange,92618-8897,no_damage,2019.0,,,SILVERADO_2020,SILVERADO,2020.0,no_damage,2020.0,18.27680679996936,,FALSE
SCH_32669693233509,school,High Schools (Public),CDE_pubschls,Greenville High,40.139597,-120.94576,True,117 Grand Street,Greenville,Plumas,95947-9630,complete_loss,1980.0,2024.0,,DIXIE_2021,DIXIE,2021.0,complete_loss,2021.0,38.5218810806224,,FALSE
SCH_32669696031421,school,Elementary Schools (Public),CDE_pubschls,Greenville Elementary,40.140569,-120.9457,True,225 Grand Street,Greenville,Plumas,95947,no_damage,1980.0,,,DIXIE_2021,DIXIE,2021.0,no_damage,2021.0,31.943556978451024,,FALSE
SCH_44698076049837,school,Elementary Schools (Public),CDE_pubschls,Boulder Creek Elementary,37.122604,-122.12663,True,400 Lomond Street,Boulder Creek,Santa Cruz,95006-9274,no_damage,1980.0,,,CZU LIGHTNING COMPLEX_2020,CZU LIGHTNING COMPLEX,2020.0,no_damage,2020.0,52.64181590544588,,FALSE
SCH_45700036050330,school,Elemen Schools In 1 School Dist. (Public),CDE_pubschls,Grant Elementary,40.550299,-122.47386,True,8835 Swasey Drive,Redding,Shasta,96001-9722,not_matched,1980.0,,,CARR_2018,CARR ,2018.0,,,,,FALSE
SCH_45701286050546,school,Elemen Schools In 1 School Dist. (Public),CDE_pubschls,Shasta Elementary,40.590953,-122.48802,True,10446 Red Bluff Road,Shasta,Shasta,96087-3473,impacted,1980.0,,,CARR_2018,CARR ,2018.0,impacted,2018.0,40.23740517299698,,FALSE
SCH_49707060129981,school,K-12 Schools (Public),CDE_pubschls,Geyserville New Tech Academy,38.72015,-122.88534,True,1300 Moody Lane,Geyserville,Sonoma,95441-9670,not_matched,2014.0,,,KINCADE_2019,KINCADE,2019.0,,,,,FALSE
SCH_52714726053615,school,Elementary Schools (Public),CDE_pubschls,Plum Valley Elementary,40.311645,-121.89567,True,29950 Plum Creek Road,Paynes Creek,Tehama,96075-9707,no_damage,1980.0,,,PARK_2024,PARK,2024.0,no_damage,2024.0,94.22427173993633,,FALSE
SCH_53738336053755,school,Elementary Schools (Public),CDE_pubschls,Hoaglin-Zenia Elementary,40.09595,-123.40827,True,Zenia Lake Mountain Road & Burgess Ranch Road HC 62 Box 54,Zenia,Trinity,95595-9602,not_matched,1980.0,,,AUGUST COMPLEX_2020,AUGUST COMPLEX,2020.0,,,,,FALSE
SCH_55723636054852,school,Elementary Schools (Public),CDE_pubschls,Chinese Camp Elementary,37.866467,-120.43723,True,13444 Red Hills Road,Chinese Camp,Tuolumne,95309-0100,complete_loss,1980.0,,,6-5_2025,6-5,2025.0,complete_loss,2025.0,74.64587354190418,,FALSE
RED-017346,residential_elderly_disabled,Skilled Nursing Facility,HCAI_listing,,,,,,,BUTTE,,complete_loss,2017.0,2018.0,44,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,4.9344253977795605,06007002100,TRUE
RED-017465,residential_elderly_disabled,Skilled Nursing Facility,HCAI_listing,,,,,,,BUTTE,,complete_loss,2017.0,2018.0,136,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,58.05404159648556,06007001900,TRUE
RED-016331,residential_elderly_disabled,Skilled Nursing Facility,HCAI_listing,,,,,,,BUTTE,,complete_loss,2017.0,2019.0,99,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,50.67421476590745,06007001800,TRUE
RED-001486,residential_elderly_disabled,Hospice Facility,HCAI_listing,,,,,,,Butte,,no_damage,2017.0,2025.0,6,CAMP_2018,CAMP,2018.0,no_damage,2018.0,18.3329877259039,06007001800,TRUE
RED-004401,residential_elderly_disabled,Skilled Nursing Facility,HCAI_listing,,,,,,,Los Angeles,,complete_loss,2017.0,2025.0,50,EATON_2025,EATON,2025.0,complete_loss,2025.0,3.892963499523595,06037461300,TRUE
RED-023720,residential_elderly_disabled,Skilled Nursing Facility,HCAI_listing,,,,,,,Los Angeles,,impacted,2017.0,2025.0,99,EATON_2025,EATON,2025.0,impacted,2025.0,8.39162020015215,06037461300,TRUE
RED-014538,residential_elderly_disabled,Congregate Living Health Facility,HCAI_listing,,,,,,,Los Angeles,,not_matched,2017.0,2025.0,12,WOOLSEY_2018,WOOLSEY,2018.0,,,,06037800335,TRUE
RED-009147,residential_elderly_disabled,Congregate Living Health Facility,HCAI_listing,,,,,,,Los Angeles,,not_matched,2018.0,2025.0,8,WOOLSEY_2018,WOOLSEY,2018.0,,,,06037800335,TRUE
RED-015504,residential_elderly_disabled,Congregate Living Health Facility,HCAI_listing,,,,,,,Los Angeles,,not_matched,2019.0,2025.0,6,TICK_2019,TICK,2019.0,,,,06037910808,TRUE
RED-012368,residential_elderly_disabled,Congregate Living Health Facility,HCAI_listing,,,,,,,Los Angeles,,complete_loss,2024.0,2025.0,6,EATON_2025,EATON,2025.0,complete_loss,2025.0,2.6477844091793785,06037461100,TRUE
RED-019372,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,LOS ANGELES,,complete_loss,2005.0,,60,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,23.678094816624682,06037262501,TRUE
RED-017024,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,LOS ANGELES,,complete_loss,,,60,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,23.678094816624682,06037262501,TRUE
RED-009879,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,LOS ANGELES,,complete_loss,,,60,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,23.678094816624682,06037262501,TRUE
RED-021546,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,VENTURA,,no_damage,2019.0,,6,MOUNTAIN_2024,MOUNTAIN,2024.0,no_damage,2024.0,15.740499223112247,06111005202,TRUE
RED-004894,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,LOS ANGELES,,complete_loss,2021.0,2025.0,10,EATON_2025,EATON,2025.0,complete_loss,2025.0,22.58524807172216,06037460200,TRUE
RED-013999,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,LOS ANGELES,,no_damage,2021.0,,6,EATON_2025,EATON,2025.0,no_damage,2025.0,39.219358682572455,06037460101,TRUE
RED-013954,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,LOS ANGELES,,complete_loss,2019.0,2025.0,6,EATON_2025,EATON,2025.0,complete_loss,2025.0,22.518876350419713,06037460101,TRUE
RED-015619,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,LOS ANGELES,,complete_loss,2021.0,2025.0,6,EATON_2025,EATON,2025.0,complete_loss,2025.0,23.455500754143195,06037460101,TRUE
RED-018716,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,VENTURA,,no_damage,,,6,MOUNTAIN_2024,MOUNTAIN,2024.0,no_damage,2024.0,19.645804070811625,06111005204,TRUE
RED-002077,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,LOS ANGELES,,complete_loss,2023.0,,6,EATON_2025,EATON,2025.0,complete_loss,2025.0,17.771020757681818,06037460302,TRUE
RED-006997,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,BUTTE,,complete_loss,2018.0,,17,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,19.37431106155744,06007001800,TRUE
RED-009383,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,LOS ANGELES,,no_damage,2002.0,,30,EATON_2025,EATON,2025.0,no_damage,2025.0,33.688992290616945,06037460200,TRUE
RED-005393,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,SHASTA,,not_matched,2010.0,2022.0,75,CARR_2018,CARR ,2018.0,,,,06089010702,TRUE
RED-016307,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,LOS ANGELES,,complete_loss,2007.0,,6,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,25.352254034563252,06037262604,TRUE
RED-015745,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,NAPA,,no_damage,2019.0,2024.0,32,GLASS_2020,GLASS,2020.0,no_damage,2020.0,30.43506499531202,06055201700,TRUE
RED-020136,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,BUTTE,,complete_loss,2011.0,2023.0,17,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,35.28972132778233,06007002300,TRUE
RED-018938,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,BUTTE,,no_damage,2011.0,2023.0,15,CAMP_2018,CAMP,2018.0,no_damage,2018.0,50.631597565084576,06007002300,TRUE
RED-013086,residential_elderly_disabled,RESIDENTIAL CARE ELDERLY,ResidentialElderCareFacility,,,,,,,BUTTE,,no_damage,2011.0,2023.0,24,CAMP_2018,CAMP,2018.0,no_damage,2018.0,34.66721207394309,06007002300,TRUE
