FIPS,E_TOTPOP,E_AGE65,E_AGE17,acc_hospital_clinic,drop_hospital_clinic,droppct_hospital_clinic,acc_residential_elderly_disabled,drop_residential_elderly_disabled,droppct_residential_elderly_disabled,acc_childcare_center,drop_childcare_center,droppct_childcare_center,acc_school,drop_school,droppct_school
06001406700,5380.0,945.0,850.0,0.01298533689992719,0.0,0.0,0.0907418734350889,0.0,0.0,0.18543714306566486,0.0,0.0,0.002208253650359427,0.0,0.0
06001406800,3971.0,728.0,925.0,0.01294946968809807,0.0,0.0,0.09124186609738022,0.0,0.0,0.1731133837162787,0.0,0.0,0.0021651105274618403,0.0,0.0
06001406900,3865.0,693.0,581.0,0.012922785848578694,0.0,0.0,0.09152012244785085,0.0,0.0,0.1620824613944903,0.0,0.0,0.0021323900576341124,0.0,0.0
06001407000,6202.0,1009.0,1420.0,0.013008003865477449,0.0,0.0,0.09126066260637088,0.0,0.0,0.16111370858526894,0.0,0.0,0.0022163498738235385,0.0,0.0
06001407101,4053.0,448.0,1109.0,0.013070383641335151,0.0,0.0,0.09062846246431513,0.0,0.0,0.17512048609202582,0.0,0.0,0.002240952062849334,0.0,0.0
06001407102,4268.0,397.0,990.0,0.013048633813966258,0.0,0.0,0.09089608497758961,0.0,0.0,0.16762098488433727,0.0,0.0,0.0022202748183938227,0.0,0.0
06001407200,6544.0,580.0,1661.0,0.013085662089545747,0.0,0.0,0.09029501480463308,0.0,0.0,0.17354876806793915,0.0,0.0,0.002210705085080809,0.0,0.0
06001407300,2459.0,190.0,501.0,0.013017483369864859,0.0,0.0,0.09055595247974846,0.0,0.0,0.1432085135799471,0.0,0.0,0.0020873056254523056,0.0,0.0
06001407400,4242.0,590.0,973.0,0.013013280052629632,0.0,0.0,0.0909650094724758,0.0,0.0,0.15168914598324182,0.0,0.0,0.002151736506378515,0.0,0.0
06001407500,3988.0,372.0,1277.0,0.012954987580361886,0.0,0.0,0.09125363134431018,0.0,0.0,0.14028935586806482,0.0,0.0,0.0021157361631662813,0.0,0.0
06001407600,6459.0,664.0,1488.0,0.013006078738111063,0.0,0.0,0.09125310025825917,0.0,0.0,0.1546058283257639,0.0,0.0,0.0021829103292201925,0.0,0.0
06001407700,4238.0,627.0,870.0,0.012940285861724143,0.0,0.0,0.091539500273923,0.0,0.0,0.14012969815358065,0.0,0.0,0.0021313723128372764,0.0,0.0
