facility_id,category,fire_status,outcome,FIPS,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
RED-021851,residential_elderly_disabled,,outside_all_perimeters,06037430501,0.045,0.0544,0.2155,0.2641,0.0671
RED-022370,residential_elderly_disabled,,outside_all_perimeters,06037430502,0.1624,0.1951,0.2442,0.2453,0.2054
RED-011175,residential_elderly_disabled,,outside_all_perimeters,06037481403,0.7342,0.7637,0.7349,0.8976,0.4536
RED-016933,residential_elderly_disabled,,outside_all_perimeters,06081611000,0.3762,0.3635,0.3207,0.4515,0.4528
RED-000221,residential_elderly_disabled,,outside_all_perimeters,06083002008,0.3573,0.2923,0.4595,0.3716,0.4308
RED-020992,residential_elderly_disabled,,outside_all_perimeters,06073002001,0.0871,0.149,0.0807,0.0911,0.2285
RED-009961,residential_elderly_disabled,,outside_all_perimeters,06019001417,0.3532,0.2491,0.2955,0.7576,0.4439
RED-021236,residential_elderly_disabled,,outside_all_perimeters,06059076208,0.4507,0.3716,0.1894,0.3582,0.8058
RED-013880,residential_elderly_disabled,,outside_all_perimeters,06059076206,0.419,0.3515,0.2566,0.3228,0.7066
RED-002340,residential_elderly_disabled,,outside_all_perimeters,06059099223,0.8452,0.6663,0.8844,0.7535,0.8781
RED-007531,residential_elderly_disabled,,outside_all_perimeters,06061021123,0.017,0.0723,0.1758,0.0871,0.0225
RED-000699,residential_elderly_disabled,,outside_all_perimeters,06113010902,0.693,0.6511,0.8056,0.5071,0.595
RED-019092,residential_elderly_disabled,,outside_all_perimeters,06097153001,0.6936,0.6825,0.6701,0.412,0.7037
RED-007669,residential_elderly_disabled,,outside_all_perimeters,06033000100,0.6624,0.7044,0.747,0.1855,0.5929
RED-011010,residential_elderly_disabled,,outside_all_perimeters,06097154202,0.3032,0.2739,0.4112,0.1248,0.4332
RED-011449,residential_elderly_disabled,,outside_all_perimeters,06019005514,0.4083,0.3629,0.4453,0.2136,0.5595
RED-020093,residential_elderly_disabled,,outside_all_perimeters,06037910210,0.158,0.2019,0.527,0.5057,0.041
RED-022979,residential_elderly_disabled,,outside_all_perimeters,06037910210,0.158,0.2019,0.527,0.5057,0.041
RED-020553,residential_elderly_disabled,,outside_all_perimeters,06111009300,0.4366,0.3976,0.5315,0.3539,0.4641
RED-023925,residential_elderly_disabled,,outside_all_perimeters,06059087601,0.7492,0.6212,0.4329,0.7124,0.9415
RED-001933,residential_elderly_disabled,,outside_all_perimeters,06001443001,0.2658,0.1597,0.3469,0.6934,0.3054
RED-013728,residential_elderly_disabled,,outside_all_perimeters,06001441602,0.3955,0.1877,0.4012,0.5765,0.6724
RED-016970,residential_elderly_disabled,,outside_all_perimeters,06073014001,0.5919,0.7394,0.5766,0.5453,0.3062
RED-007128,residential_elderly_disabled,,outside_all_perimeters,06037530101,0.9821,0.9814,0.9671,0.8065,0.8838
RED-014808,residential_elderly_disabled,,outside_all_perimeters,06037400603,0.3768,0.2902,0.2094,0.6144,0.5847
RED-017780,residential_elderly_disabled,,outside_all_perimeters,06037400603,0.3768,0.2902,0.2094,0.6144,0.5847
RED-009254,residential_elderly_disabled,,outside_all_perimeters,06059063904,0.6602,0.6962,0.7459,0.4847,0.477
RED-019090,residential_elderly_disabled,,outside_all_perimeters,06059099240,0.1793,0.1561,0.2346,0.1847,0.335
RED-010273,residential_elderly_disabled,,outside_all_perimeters,06059088002,0.831,0.7382,0.8761,0.6185,0.8063
RED-009658,residential_elderly_disabled,,outside_all_perimeters,06059099405,0.2962,0.3372,0.1822,0.2408,0.4602
RED-017568,residential_elderly_disabled,,outside_all_perimeters,06059099216,0.2096,0.282,0.0993,0.1999,0.3836
RED-021040,residential_elderly_disabled,,outside_all_perimeters,06037574300,0.179,0.2658,0.0814,0.261,0.3299
RED-000753,residential_elderly_disabled,,outside_all_perimeters,06073017306,0.0535,0.0594,0.4939,0.0187,0.0448
RED-004631,residential_elderly_disabled,,outside_all_perimeters,06073017305,0.0451,0.0743,0.0869,0.0153,0.1803
RED-002841,residential_elderly_disabled,,outside_all_perimeters,06073008301,0.0263,0.043,0.1164,0.168,0.087
RED-010335,residential_elderly_disabled,,outside_all_perimeters,06059075703,0.0549,0.0445,0.1867,0.2479,0.1221
RED-020833,residential_elderly_disabled,,outside_all_perimeters,06059086602,0.8393,0.7833,0.6409,0.7641,0.8839
RED-016494,residential_elderly_disabled,,outside_all_perimeters,06073020015,0.0757,0.133,0.1326,0.0317,0.1693
RED-015989,residential_elderly_disabled,,outside_all_perimeters,06065049800,0.5503,0.5112,0.5212,0.3623,0.6622
RED-014259,residential_elderly_disabled,,outside_all_perimeters,06111001602,0.4132,0.2752,0.4733,0.2386,0.6686
RED-004314,residential_elderly_disabled,,outside_all_perimeters,06059042111,0.1247,0.1846,0.1312,0.0243,0.2688
RED-007950,residential_elderly_disabled,,outside_all_perimeters,06081603000,0.4211,0.3194,0.1321,0.2688,0.8682
RED-018158,residential_elderly_disabled,,outside_all_perimeters,06037271300,0.2284,0.3433,0.156,0.3043,0.2395
RED-023588,residential_elderly_disabled,,outside_all_perimeters,06073003201,0.5959,0.6205,0.7411,0.7772,0.2872
RED-000756,residential_elderly_disabled,,outside_all_perimeters,06059042205,0.2556,0.2367,0.2172,0.2091,0.4533
RED-009426,residential_elderly_disabled,,outside_all_perimeters,06013303211,0.0345,0.1085,0.123,0.3911,0.031
RED-000934,residential_elderly_disabled,,outside_all_perimeters,06059063805,0.3621,0.5104,0.4621,0.2213,0.2029
RED-004884,residential_elderly_disabled,,outside_all_perimeters,06065040620,0.0465,0.2046,0.0848,0.5843,0.0129
RED-019367,residential_elderly_disabled,,outside_all_perimeters,06029003219,0.1398,0.3564,0.2008,0.7261,0.0123
RED-009724,residential_elderly_disabled,,outside_all_perimeters,06013355109,0.6287,0.6394,0.7768,0.5724,0.4086
RED-010223,residential_elderly_disabled,,outside_all_perimeters,06107003504,0.6819,0.7562,0.7931,0.587,0.3606
RED-018526,residential_elderly_disabled,,outside_all_perimeters,06107003504,0.6819,0.7562,0.7931,0.587,0.3606
RED-000755,residential_elderly_disabled,,outside_all_perimeters,06081608700,0.1296,0.0387,0.1193,0.3716,0.4318
RED-016464,residential_elderly_disabled,,outside_all_perimeters,06059001504,0.5591,0.5602,0.4626,0.4715,0.6036
RED-008553,residential_elderly_disabled,,outside_all_perimeters,06013303206,0.219,0.2979,0.2877,0.3833,0.165
RED-018156,residential_elderly_disabled,,outside_all_perimeters,06013303206,0.219,0.2979,0.2877,0.3833,0.165
RED-017932,residential_elderly_disabled,,outside_all_perimeters,06073018906,0.8476,0.7852,0.7928,0.5317,0.8821
RED-012158,residential_elderly_disabled,,outside_all_perimeters,06067008509,0.0037,0.004,0.0679,0.2121,0.0432
RED-013238,residential_elderly_disabled,,outside_all_perimeters,06067007109,0.3815,0.4288,0.4585,0.3465,0.3127
RED-017456,residential_elderly_disabled,,outside_all_perimeters,06095251901,0.9634,0.8514,0.9405,0.7026,0.9723
RED-010414,residential_elderly_disabled,,outside_all_perimeters,06095251901,0.9634,0.8514,0.9405,0.7026,0.9723
RED-015902,residential_elderly_disabled,,outside_all_perimeters,06097151308,0.395,0.1628,0.5809,0.3783,0.6578
RED-014883,residential_elderly_disabled,,outside_all_perimeters,06041108201,0.8673,0.8067,0.8967,0.4132,0.8651
RED-010179,residential_elderly_disabled,,outside_all_perimeters,06041108201,0.8673,0.8067,0.8967,0.4132,0.8651
RED-010685,residential_elderly_disabled,,outside_all_perimeters,06097150203,0.5114,0.3088,0.5917,0.0338,0.8729
RED-016209,residential_elderly_disabled,,outside_all_perimeters,06097150203,0.5114,0.3088,0.5917,0.0338,0.8729
RED-005044,residential_elderly_disabled,,outside_all_perimeters,06037650701,0.1331,0.0652,0.4057,0.3763,0.1635
RED-020318,residential_elderly_disabled,,outside_all_perimeters,06067008136,0.5126,0.6646,0.29,0.0435,0.583
RED-003127,residential_elderly_disabled,,outside_all_perimeters,06099003610,0.6147,0.5311,0.3462,0.4595,0.8737
RED-016423,residential_elderly_disabled,,outside_all_perimeters,06095252911,0.3857,0.1835,0.3618,0.2107,0.8173
RED-014809,residential_elderly_disabled,,outside_all_perimeters,06095250104,0.7252,0.7285,0.4494,0.637,0.7962
RED-008586,residential_elderly_disabled,,outside_all_perimeters,06097150203,0.5114,0.3088,0.5917,0.0338,0.8729
RED-007458,residential_elderly_disabled,,outside_all_perimeters,06037432502,0.4471,0.498,0.5084,0.92,0.1703
RED-015004,residential_elderly_disabled,,outside_all_perimeters,06037121600,0.6643,0.5574,0.8801,0.3571,0.6338
RED-011424,residential_elderly_disabled,,outside_all_perimeters,06037238100,0.7281,0.6262,0.6234,0.9302,0.7275
RED-011077,residential_elderly_disabled,,outside_all_perimeters,06085502103,0.6735,0.6101,0.6086,0.5505,0.7322
RED-012950,residential_elderly_disabled,,outside_all_perimeters,06073002801,0.3804,0.543,0.0069,0.2295,0.9012
