FIPS,fire,category,drop,drop_pct
06037234301,PALISADES,residential_elderly_disabled,0.0003351178038734481,0.3728619520740482
06037234302,PALISADES,residential_elderly_disabled,0.0003211623555559511,0.35545538872674826
06037234501,PALISADES,residential_elderly_disabled,0.0003107498237634223,0.34855546521958214
06037234502,PALISADES,residential_elderly_disabled,0.0003141394928612625,0.34982159889419817
06037234600,PALISADES,residential_elderly_disabled,0.00031329822906741385,0.356010541390418
06037234700,PALISADES,residential_elderly_disabled,0.0003084715353133152,0.3533854584730919
06037234800,PALISADES,residential_elderly_disabled,0.00028927871761965995,0.33126566012296316
06037234901,PALISADES,residential_elderly_disabled,0.00030485902309628014,0.35291142064313175
06037234902,PALISADES,residential_elderly_disabled,0.0003180510029724833,0.3713542726950394
06037235100,PALISADES,residential_elderly_disabled,0.00034910833815583877,0.41433866910769723
06037235201,PALISADES,residential_elderly_disabled,0.00028080457061191097,0.3255730765561991
06037235202,PALISADES,residential_elderly_disabled,0.0002984047648714262,0.3516297015961123
06037236001,PALISADES,residential_elderly_disabled,0.00041471480144301964,0.4680478067812876
06037236101,PALISADES,residential_elderly_disabled,0.00035912725959971693,0.39752104669537913
06037236102,PALISADES,residential_elderly_disabled,0.0003592190428243777,0.40243739879928025
06037236203,PALISADES,residential_elderly_disabled,0.0003776801917541945,0.41704917131849323
06037236204,PALISADES,residential_elderly_disabled,0.0003807481658219296,0.42527713140003864
06037236205,PALISADES,residential_elderly_disabled,0.0003880033162836975,0.4338804469620149
06037236206,PALISADES,residential_elderly_disabled,0.0003926728386396049,0.4366703646562356
06037236400,PALISADES,residential_elderly_disabled,0.0003800675265670896,0.43390053464921985
06037237101,PALISADES,residential_elderly_disabled,0.00021660399580653548,0.2371605011430523
06037237102,PALISADES,residential_elderly_disabled,0.00019675928598980003,0.21384820603666796
06037237201,PALISADES,residential_elderly_disabled,0.00023653585796728745,0.2611429035195471
06037237202,PALISADES,residential_elderly_disabled,0.0002641586822251901,0.2956092709882255
06037237300,PALISADES,residential_elderly_disabled,0.0002585075088717475,0.29291749470585066
06037237401,PALISADES,residential_elderly_disabled,0.00021785404711986052,0.24158182803632275
06037237402,PALISADES,residential_elderly_disabled,0.00023442953454485123,0.2620535067852604
06037237500,PALISADES,residential_elderly_disabled,0.0002035429369946006,0.2243661711329618
06037237600,PALISADES,residential_elderly_disabled,0.00018955474887111216,0.20776586524426094
06037237710,PALISADES,residential_elderly_disabled,0.0001889961970254479,0.2092073776354985
06037237720,PALISADES,residential_elderly_disabled,0.00018496511784713723,0.2057251972739804
06037237800,PALISADES,residential_elderly_disabled,0.00021766131371389914,0.24500406293885194
06037237900,PALISADES,residential_elderly_disabled,0.00024994790831319737,0.2866497232856002
06037238000,PALISADES,residential_elderly_disabled,0.0002126639917572007,0.2532738933800405
06037238100,PALISADES,residential_elderly_disabled,0.00024038104593141648,0.2792398852914481
06037238200,PALISADES,residential_elderly_disabled,0.00020761989711097037,0.23648321003236797
06037238310,PALISADES,residential_elderly_disabled,0.0001808588590474902,0.202090452551151
06037238320,PALISADES,residential_elderly_disabled,0.00017595489570376786,0.19770956049043006
06037238400,PALISADES,residential_elderly_disabled,0.00022473413138758387,0.26355070490005084
06037239201,PALISADES,residential_elderly_disabled,0.00017943145859934426,0.1939468490619236
06037239202,PALISADES,residential_elderly_disabled,0.00014665630372348291,0.15721232394904874
06037239310,PALISADES,residential_elderly_disabled,0.00017231319619131962,0.18768650353397504
06037239320,PALISADES,residential_elderly_disabled,0.0001576791450896047,0.17095368003386893
06037239330,PALISADES,residential_elderly_disabled,0.00013426303272988626,0.1446842462270815
06037239501,PALISADES,residential_elderly_disabled,0.0001280230858964989,0.13857791077486994
